##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	10_2G_both_S8_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	81477069
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.199119852973602	32.0	32.0	32.0	32.0	32.0
2	31.329073619474457	32.0	32.0	32.0	32.0	32.0
3	35.67421200436162	37.0	37.0	37.0	32.0	37.0
4	36.056697842186736	37.0	37.0	37.0	32.0	37.0
5	36.195361224886476	37.0	37.0	37.0	37.0	37.0
6	39.685999934533726	41.0	41.0	41.0	37.0	41.0
7	39.88179941769874	41.0	41.0	41.0	37.0	41.0
8	40.0572490156709	41.0	41.0	41.0	37.0	41.0
9	40.120682728535556	41.0	41.0	41.0	37.0	41.0
10-11	40.17568841976876	41.0	41.0	41.0	37.0	41.0
12-13	40.16903107425232	41.0	41.0	41.0	37.0	41.0
14-15	40.15100733434581	41.0	41.0	41.0	37.0	41.0
16-17	40.10402766820195	41.0	41.0	41.0	37.0	41.0
18-19	40.09958184062806	41.0	41.0	41.0	37.0	41.0
20-21	40.08251052207094	41.0	41.0	41.0	37.0	41.0
22-23	40.094706100682146	41.0	41.0	41.0	37.0	41.0
24-25	40.08437287428687	41.0	41.0	41.0	37.0	41.0
26-27	40.02457210997612	41.0	41.0	41.0	37.0	41.0
28-29	39.99279874071071	41.0	41.0	41.0	37.0	41.0
30-31	39.962863821230485	41.0	41.0	41.0	37.0	41.0
32-33	39.96313969639728	41.0	41.0	41.0	37.0	41.0
34-35	40.00134744660488	41.0	41.0	41.0	37.0	41.0
36-37	39.99702159757367	41.0	41.0	41.0	37.0	41.0
38-39	39.97087033776337	41.0	41.0	41.0	37.0	41.0
40-41	39.95869715809242	41.0	41.0	41.0	37.0	41.0
42-43	39.93815526795643	41.0	41.0	41.0	37.0	41.0
44-45	39.887382387307035	41.0	41.0	41.0	37.0	41.0
46-47	39.888451817038245	41.0	41.0	41.0	37.0	41.0
48-49	39.88829158177008	41.0	41.0	41.0	37.0	41.0
50-51	39.88221504997928	41.0	41.0	41.0	37.0	41.0
52-53	39.83572010303905	41.0	41.0	41.0	37.0	41.0
54-55	39.83747985583527	41.0	41.0	41.0	37.0	41.0
56-57	39.81284944111085	41.0	41.0	41.0	37.0	41.0
58-59	39.80091542075476	41.0	41.0	41.0	37.0	41.0
60-61	39.77649575857963	41.0	41.0	41.0	37.0	41.0
62-63	39.736294686790956	41.0	41.0	41.0	37.0	41.0
64-65	39.72756278211235	41.0	41.0	41.0	37.0	41.0
66-67	39.706897483020654	41.0	41.0	41.0	37.0	41.0
68-69	39.68305541280578	41.0	41.0	41.0	37.0	41.0
70-71	39.59746333044946	41.0	41.0	41.0	37.0	41.0
72-73	39.60476388761603	41.0	41.0	41.0	37.0	41.0
74-75	39.570438579473205	41.0	41.0	41.0	37.0	41.0
76-77	39.205957611214515	41.0	41.0	41.0	34.5	41.0
78-79	39.30188333112474	41.0	41.0	41.0	37.0	41.0
80-81	39.44829631144439	41.0	41.0	41.0	37.0	41.0
82-83	39.49238574720944	41.0	41.0	41.0	37.0	41.0
84-85	39.45979709947593	41.0	41.0	41.0	37.0	41.0
86-87	39.42310777649598	41.0	41.0	41.0	37.0	41.0
88-89	39.2820260753366	41.0	41.0	41.0	37.0	41.0
90-91	39.304408550827965	41.0	41.0	41.0	37.0	41.0
92-93	39.23967978646851	41.0	41.0	41.0	37.0	41.0
94-95	39.15678626092944	41.0	41.0	41.0	37.0	41.0
96-97	39.14276414999661	41.0	41.0	41.0	37.0	41.0
98-99	38.93737015748566	41.0	41.0	41.0	32.0	41.0
100-101	38.48252736607401	41.0	39.0	41.0	34.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.3209473290934426
1101	2	-0.1672998330662807
1101	3	-0.09836651729707313
1101	4	-0.08846603395349462
1101	5	0.08541523912197135
1101	6	9.599137454259221E-4
1101	7	0.015018753672649154
1101	8	0.06210209277715961
1101	9	0.00572110088750577
1101	10-11	0.044894200720399624
1101	12-13	0.049723776095497385
1101	14-15	0.027362963227531623
1101	16-17	0.03867617803475554
1101	18-19	0.022987075113938715
1101	20-21	0.04047785681130023
1101	22-23	0.02514971160398005
1101	24-25	0.022297709000874022
1101	26-27	0.04217551639599293
1101	28-29	0.023195580520969372
1101	30-31	0.01567713737087928
1101	32-33	0.029902763380043496
1101	34-35	-0.01234261725720387
1101	36-37	-0.016162883450547838
1101	38-39	-0.01349103548539432
1101	40-41	-0.020577204121039472
1101	42-43	-0.022723130115373635
1101	44-45	0.024057371549197626
1101	46-47	0.007268084605023262
1101	48-49	-0.03257681342219598
1101	50-51	0.016047464548059054
1101	52-53	0.0556539214631826
1101	54-55	0.010571211380522527
1101	56-57	0.01001830451460961
1101	58-59	0.021551800383164732
1101	60-61	0.04202789608066837
1101	62-63	0.07675036864978324
1101	64-65	0.0677736749481852
1101	66-67	0.04969679510637093
1101	68-69	0.009879687289277683
1101	70-71	0.08554810964015047
1101	72-73	0.07165679031731287
1101	74-75	0.053885062052366095
1101	76-77	0.10552976081061871
1101	78-79	0.15160702323973396
1101	80-81	0.1714369397847122
1101	82-83	0.12172446013506288
1101	84-85	0.14193656121781828
1101	86-87	0.10274080993900014
1101	88-89	0.25988140733714715
1101	90-91	0.26457011294679944
1101	92-93	0.307618732464789
1101	94-95	0.3347724046601712
1101	96-97	0.19559092700716718
1101	98-99	0.4419963386147856
1101	100-101	0.3034060016426281
1102	1	-0.2420306141596562
1102	2	-0.14329404445380334
1102	3	-0.10995190835692625
1102	4	-0.0420271642905945
1102	5	0.13441733604692274
1102	6	0.06064355205344896
1102	7	0.06001903260032293
1102	8	0.0972427216862215
1102	9	0.02421485528763867
1102	10-11	0.04331130146093898
1102	12-13	0.054157789993347194
1102	14-15	0.02989441356773881
1102	16-17	0.07639625572848985
1102	18-19	0.07992517568972346
1102	20-21	0.08218003096271076
1102	22-23	0.0717496962465134
1102	24-25	0.06471019652457954
1102	26-27	0.07978749648084005
1102	28-29	0.06452462607572329
1102	30-31	0.09077645269816514
1102	32-33	0.07095776408249321
1102	34-35	0.014213167014652583
1102	36-37	0.011276041012969529
1102	38-39	0.03992547710129912
1102	40-41	0.020632170179851528
1102	42-43	0.01777238289755445
1102	44-45	0.07232562955471877
1102	46-47	0.05260998106880521
1102	48-49	0.04953204723572924
1102	50-51	0.047911451170897124
1102	52-53	0.07948758722437077
1102	54-55	0.04930270036913953
1102	56-57	0.05476832791173081
1102	58-59	0.03804213086769437
1102	60-61	0.04164871242900148
1102	62-63	0.07725720148081905
1102	64-65	0.06478341118298658
1102	66-67	0.07012437116282655
1102	68-69	0.04794899631993843
1102	70-71	0.08809465185331078
1102	72-73	0.10722326679934469
1102	74-75	0.13790644520629058
1102	76-77	0.17339939793996706
1102	78-79	0.17026014208933304
1102	80-81	0.19672964853619135
1102	82-83	0.15999554764457713
1102	84-85	0.15489583258248274
1102	86-87	0.141126037687215
1102	88-89	0.2737025995010143
1102	90-91	0.2900817636435704
1102	92-93	0.32310751792547876
1102	94-95	0.3460558697670848
1102	96-97	0.32149663240147675
1102	98-99	0.5033041426355567
1102	100-101	0.39024192667127977
1103	1	-0.21817162349071495
1103	2	-0.12266678116316143
1103	3	-0.06445764833779322
1103	4	0.014922327209561104
1103	5	0.13773312983752106
1103	6	0.0830788617186542
1103	7	0.08343773261726994
1103	8	0.08390671485923207
1103	9	0.004956635710328783
1103	10-11	0.03698192225448338
1103	12-13	0.04683287339201314
1103	14-15	0.029118945607464752
1103	16-17	0.04942111613799227
1103	18-19	0.06478917600399825
1103	20-21	0.10033058365605996
