##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	10_2G_both_S8_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	81477069
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.11523245884066	32.0	32.0	32.0	27.0	32.0
2	30.747228978008526	32.0	32.0	32.0	32.0	32.0
3	33.834618032222046	37.0	32.0	37.0	32.0	37.0
4	34.56114226445725	37.0	37.0	37.0	32.0	37.0
5	35.04145462080871	37.0	37.0	37.0	32.0	37.0
6	37.8059135141447	41.0	37.0	41.0	32.0	41.0
7	37.987992032457626	41.0	37.0	41.0	32.0	41.0
8	38.1194468347898	41.0	41.0	41.0	32.0	41.0
9	38.316131376792654	41.0	41.0	41.0	32.0	41.0
10-11	38.24969623048173	41.0	41.0	41.0	32.0	41.0
12-13	38.251548107357664	41.0	41.0	41.0	32.0	41.0
14-15	38.159267179824546	41.0	41.0	41.0	32.0	41.0
16-17	37.92905560949916	41.0	37.0	41.0	27.0	41.0
18-19	37.99632287950859	41.0	39.0	41.0	29.5	41.0
20-21	37.954206274896805	41.0	39.0	41.0	27.0	41.0
22-23	37.94410962426741	41.0	39.0	41.0	27.0	41.0
24-25	38.00675708523585	41.0	41.0	41.0	27.0	41.0
26-27	38.007949733685194	41.0	41.0	41.0	27.0	41.0
28-29	38.019340699405866	41.0	41.0	41.0	27.0	41.0
30-31	37.911704291915555	41.0	39.0	41.0	27.0	41.0
32-33	37.47236674652595	41.0	37.0	41.0	27.0	41.0
34-35	37.11915812165506	41.0	37.0	41.0	27.0	41.0
36-37	36.89329177391003	41.0	37.0	41.0	24.5	41.0
38-39	36.83429205093276	41.0	37.0	41.0	24.5	41.0
40-41	37.22070606761763	41.0	37.0	41.0	27.0	41.0
42-43	37.48929245969808	41.0	37.0	41.0	27.0	41.0
44-45	37.677748833846735	41.0	37.0	41.0	27.0	41.0
46-47	37.69304035715865	41.0	37.0	41.0	27.0	41.0
48-49	37.66081131367158	41.0	37.0	41.0	27.0	41.0
50-51	37.64736115507543	41.0	37.0	41.0	27.0	41.0
52-53	37.70338811524995	41.0	37.0	41.0	27.0	41.0
54-55	37.51397565000774	41.0	37.0	41.0	27.0	41.0
56-57	37.606598600153376	41.0	37.0	41.0	27.0	41.0
58-59	37.51506543515943	41.0	37.0	41.0	27.0	41.0
60-61	37.411083540572626	41.0	37.0	41.0	27.0	41.0
62-63	37.44357845027538	41.0	37.0	41.0	27.0	41.0
64-65	37.38072754556254	41.0	37.0	41.0	27.0	41.0
66-67	37.35629085405613	41.0	37.0	41.0	27.0	41.0
68-69	37.2485720307391	41.0	37.0	41.0	27.0	41.0
70-71	37.25988704257391	41.0	37.0	41.0	27.0	41.0
72-73	37.14998855076635	41.0	37.0	41.0	27.0	41.0
74-75	37.11533278154618	41.0	37.0	41.0	27.0	41.0
76-77	36.51320547011822	41.0	34.5	41.0	22.0	41.0
78-79	36.68035691735548	41.0	37.0	41.0	22.0	41.0
80-81	37.09181906138524	41.0	37.0	41.0	24.5	41.0
82-83	37.177780253730035	41.0	37.0	41.0	27.0	41.0
84-85	37.04533999621415	41.0	37.0	41.0	24.5	41.0
86-87	36.96506348921314	41.0	37.0	41.0	22.0	41.0
88-89	36.907715114297986	41.0	37.0	41.0	22.0	41.0
90-91	36.78454630590602	41.0	37.0	41.0	22.0	41.0
92-93	36.64980586746438	41.0	37.0	41.0	22.0	41.0
94-95	36.49297299832914	41.0	37.0	41.0	22.0	41.0
96-97	36.4085191380657	41.0	37.0	41.0	22.0	41.0
98-99	36.1917631511757	41.0	37.0	41.0	22.0	41.0
100-101	35.13219440920242	39.0	34.5	41.0	17.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.48893724660621274
1101	2	-0.6695009941733936
1101	3	-1.2686380918727664
1101	4	-1.1643738815370668
1101	5	-1.131538675744558
1101	6	-1.6078826664729888
1101	7	-0.7495709732207487
1101	8	-0.40771872538068976
1101	9	-0.18625219872740217
1101	10-11	-0.09412327120132602
1101	12-13	-0.1117582580127987
1101	14-15	-0.08011525420774035
1101	16-17	-0.027562542510807475
1101	18-19	-0.045105022608851186
1101	20-21	-2.3157853934918649E-4
1101	22-23	-0.056505735687608194
1101	24-25	-0.0584307385877878
1101	26-27	-0.06892496416054428
1101	28-29	-0.09719552662282638
1101	30-31	-0.034885071534510814
1101	32-33	0.15188818813654592
1101	34-35	0.09495025903648013
1101	36-37	0.16629713514691247
1101	38-39	-0.03158927402425604
1101	40-41	-0.15266455313146565
1101	42-43	-0.13941696587652785
1101	44-45	-0.08235713799611943
1101	46-47	-0.01709195003769537
1101	48-49	-0.0021918089354286963
1101	50-51	0.0033559017534585678
1101	52-53	-0.03257261226264774
1101	54-55	0.10834858027517669
1101	56-57	-0.0790251183945685
1101	58-59	-0.04475828077373478
1101	60-61	0.034199824262586276
1101	62-63	-0.11314670436507157
1101	64-65	-0.11834786607496284
1101	66-67	-0.005305885754502526
1101	68-69	-0.06906856609355572
1101	70-71	-0.0873066074129838
1101	72-73	-0.06572731435304746
1101	74-75	-0.06062494349446723
1101	76-77	-0.17675809254159702
1101	78-79	0.04064099734164728
1101	80-81	-0.07632751529448001
1101	82-83	-0.15492401796907274
1101	84-85	-0.089008896790439
1101	86-87	-0.1349888346296808
1101	88-89	-0.22062722857954498
1101	90-91	-0.20250204776642278
1101	92-93	-0.19744851601036828
1101	94-95	-0.10213255166981838
1101	96-97	-0.09702501692998311
1101	98-99	-0.06633286752101242
1101	100-101	-0.19699772908672486
1102	1	-0.5595938038263668
1102	2	-0.6863544025974058
1102	3	-1.4396534008630582
1102	4	-1.2805499803613785
1102	5	-1.355047355485837
1102	6	-1.677365128239451
1102	7	-1.4783705275683943
1102	8	-0.9240271944094332
1102	9	-0.605771066589142
1102	10-11	-0.3299855338433275
1102	12-13	-0.2737024435626978
1102	14-15	-0.25439265083512197
1102	16-17	-0.1851158140441953
1102	18-19	-0.1593016420120108
1102	20-21	-0.17732064378559897
1102	22-23	-0.2266149542921525
1102	24-25	-0.238155234774446
1102	26-27	-0.07804970441633685
1102	28-29	-0.11698013710420696
1102	30-31	-0.11601123828041437
1102	32-33	0.0356909358397175
1102	34-35	0.010076286881194108
1102	36-37	-0.04663011350464075
1102	38-39	-0.2090168004269657
1102	40-41	-0.2717554749466089
1102	42-43	-0.20774484828631046
1102	44-45	-0.22353876794941385
1102	46-47	-0.18085951629964114
1102	48-49	-0.17208561141055867
1102	50-51	-0.09249453656567397
1102	52-53	-0.24572355943389113
1102	54-55	-0.04617036432686916
1102	56-57	-0.21177392240212356
1102	58-59	-0.22698411042314603
1102	60-61	-0.1303968571462235
1102	62-63	-0.19624471282939027
1102	64-65	-0.1409112507443524
1102	66-67	-0.11545536990289662
1102	68-69	-0.0736875209992931
1102	70-71	-0.16559834950152208
1102	72-73	-0.1742831549552477
1102	74-75	-0.22918892930517387
1102	76-77	-0.5895532317091963
1102	78-79	-0.19714422704922896
1102	80-81	-0.19965654367172903
1102	82-83	-0.31151263498589543
1102	84-85	-0.1739808421050384
1102	86-87	-0.17901920669149973
1102	88-89	-0.23751328055922727
1102	90-91	-0.22954150344688173
1102	92-93	-0.35766788852005504
1102	94-95	-0.3025841461117622
1102	96-97	-0.33313348154771916
1102	98-99	-0.25492639282257556
1102	100-101	-0.3715400324499001
1103	1	-0.808982038495234
1103	2	-0.6752964611585419
1103	3	-1.423326316108323
1103	4	-1.2733509339175129
1103	5	-1.3435845743626942
1103	6	-1.3745056888358818
1103	7	-1.4556657489069735
1103	8	-1.3259744163111193
1103	9	-0.6908036869376133
1103	10-11	-0.4246564024517099
